KG-NR;GST-NR;G;BA;NU;TIND;IND;FLAECHE;EMZ;GFN;GFT;KG-EZ;EZ #01.04.2023#
"42018";".235/4";"";1;"01";"";"";93;;"10288/2012/42";"GFT20";"42018";151
"42018";".235/5";"";1;"01";"";"";54;;"10288/2012/42";"GFT20";"42018";135
"42018";".236/1";"";1;"01";"T";"";25;;"285/2014/42";"GFT20";"42018";140
"42018";".236/1";"";2;"01";"T";"";108;;"285/2014/42";"GFT20";"42018";140
"42018";".237/1";"";1;"01";"";"";39;;"10288/2012/42";"GFT20";"42018";137
"42018";".237/2";"";1;"01";"";"";118;;"10288/2012/42";"GFT20";"42018";137
"42018";".238/1";"";1;"01";"T";"";28;;"493/2022/42";"GFT20";"42018";130
"42018";".238/1";"";8;"05";"T";"";24;;"493/2022/42";"GFT20";"42018";130
"42018";".238/2";"";1;"01";"";"";31;;"10288/2012/42";"GFT20";"42018";130
"42018";".239";"";1;"01";"";"";131;;"10288/2012/42";"GFT20";"42018";130
"42018";".240/1";"";1;"01";"";"";213;;"10288/2012/42";"GFT20";"42018";575
"42018";".241";"";1;"01";"T";"";114;;"493/2022/42";"GFT20";"42018";90
"42018";".241";"";1;"02";"T";"";75;;"493/2022/42";"GFT20";"42018";90
"42018";".242";"";1;"01";"";"";85;;"10288/2012/42";"GFT20";"42018";89
"42018";".243";"";1;"01";"";"";76;;"10288/2012/42";"GFT20";"42018";90
"42018";".247/2";"";1;"01";"";"*";145;;"10288/2012/42";"GFT20";"42018";128
"42018";".248";"";1;"01";"";"*";182;;"10288/2012/42";"GFT20";"42018";128
"42018";".251/1";"G";1;"01";"T";"*";49;;"285/2014/42";"GFT20";"42018";848
"42018";".251/1";"G";3;"01";"T";"*";106;;"285/2014/42";"GFT20";"42018";848
"42018";".251/2";"";1;"01";"T";"";66;;"10288/2012/42";"GFT20";"42018";761
"42018";".251/2";"";3;"01";"T";"";193;;"10288/2012/42";"GFT20";"42018";761
"42018";".251/3";"";1;"01";"";"*";150;;"285/2014/42";"GFT20";"42018";141
"42018";".252/1";"";1;"01";"";"*";146;;"10288/2012/42";"GFT20";"42018";144
"42018";".256";"";6;"01";"";"";49;;"493/2022/42";"GFT20";"42018";104
"42018";".257/1";"";1;"01";"";"";126;;"10288/2012/42";"GFT20";"42018";148
"42018";".257/2";"";1;"01";"";"";15;;"10288/2012/42";"GFT20";"42018";148
"42018";".257/6";"";1;"01";"";"";92;;"10288/2012/42";"GFT20";"42018";892
"42018";".257/7";"";1;"01";"";"*";77;;"10288/2012/42";"GFT20";"42018";149
"42018";".257/8";"G";1;"01";"";"*";96;;"930/2013/42";"GFT13";"42018";338
"42018";".258/1";"";1;"01";"";"*";33;;"10288/2012/42";"GFT20";"42018";101
"42018";".258/2";"";1;"01";"";"*";79;;"10288/2012/42";"GFT20";"42018";101
"42018";".259";"";1;"01";"";"*";135;;"10288/2012/42";"GFT20";"42018";102
"42018";".260";"";1;"01";"";"*";102;;"285/2014/42";"GFT20";"42018";102
"42018";".261";"";2;"01";"";"";51;8;"1131/2016/42";"GFT20";"42018";487
"42018";".262";"";1;"01";"";"";125;;"10288/2012/42";"GFT20";"42018";104
"42018";".263";"";1;"01";"";"";144;;"10288/2012/42";"GFT20";"42018";104
"42018";".264";"";1;"01";"";"*";177;;"10288/2012/42";"GFT20";"42018";106
"42018";".266/1";"";1;"01";"";"*";78;;"10288/2012/42";"GFT20";"42018";106
"42018";".267";"";1;"01";"";"*";223;;"10288/2012/42";"GFT20";"42018";105
"42018";".270";"";1;"01";"T";"*";65;;"10288/2012/42";"GFT20";"42018";121
"42018";".270";"";1;"02";"T";"*";31;;"10288/2012/42";"GFT20";"42018";121
"42018";".271";"";1;"01";"";"*";94;;"10288/2012/42";"GFT20";"42018";116
"42018";".272/1";"";1;"01";"";"";66;;"10288/2012/42";"GFT20";"42018";119
"42018";".273/1";"";1;"01";"";"";89;;"10288/2012/42";"GFT20";"42018";116
"42018";".273/2";"";1;"01";"";"";29;;"10288/2012/42";"GFT20";"42018";116
"42018";".274/2";"G";1;"01";"T";"*";42;;"10288/2012/42";"GFT20";"42018";727
"42018";".274/2";"G";3;"01";"T";"*";39;;"10288/2012/42";"GFT20";"42018";727
"42018";".276/1";"";1;"01";"";"";23;;"10288/2012/42";"GFT20";"42018";121
"42018";".276/3";"";1;"01";"";"";28;;"10288/2012/42";"GFT20";"42018";107
"42018";".277/1";"";1;"01";"";"";94;;"10288/2012/42";"GFT20";"42018";107
"42018";".278";"";1;"01";"";"";98;;"10288/2012/42";"GFT20";"42018";107
"42018";".280";"";1;"01";"";"";98;;"10288/2012/42";"GFT20";"42018";115
"42018";".282";"";1;"01";"";"*";264;;"10288/2012/42";"GFT20";"42018";111
"42018";".283/2";"";1;"01";"";"";74;;"10288/2012/42";"GFT20";"42018";623
"42018";".284/1";"";1;"01";"";"";85;;"10288/2012/42";"GFT20";"42018";623
"42018";".284/10";"";1;"01";"";"";147;;"10288/2012/42";"GFT20";"42018";208
"42018";".284/11";"";1;"01";"";"";33;;"10288/2012/42";"GFT20";"42018";804
"42018";".284/12";"";1;"01";"";"*";126;;"10288/2012/42";"GFT20";"42018";597
"42018";".284/17";"";1;"01";"";"*";90;;"10288/2012/42";"GFT20";"42018";209
"42018";".284/18";"";1;"01";"";"*";115;;"10288/2012/42";"GFT20";"42018";210
"42018";".285";"";1;"01";"";"*";103;;"10288/2012/42";"GFT20";"42018";171
"42018";".286/3";"";1;"01";"";"*";102;;"10288/2012/42";"GFT20";"42018";206
"42018";".289";"";1;"01";"";"*";252;;"10288/2012/42";"GFT20";"42018";418
"42018";".291";"";1;"01";"";"";38;;"10288/2012/42";"GFT20";"42018";804
"42018";".292";"";1;"01";"T";"";178;;"10288/2012/42";"GFT20";"42018";804
"42018";".292";"";1;"02";"T";"";102;;"10288/2012/42";"GFT20";"42018";804
"42018";".293";"";1;"01";"";"";266;;"112/2017/42";"GFT9";"42018";404
"42018";".294/2";"";1;"01";"";"";402;;"10288/2012/42";"GFT20";"42018";195
